fragment_name,validation_family,angle_degrees,selection_reason,rigid_absolute_curve_error_kcal_mol
methyl_n_methyl_carbamate,aliphatic_urethane,-180,largest_rigid_curve_error,7.1481016548
methyl_n_methyl_carbamate,aliphatic_urethane,-150,planarity_breaking_shoulder_abs150,5.74967195229
methyl_n_methyl_carbamate,aliphatic_urethane,-90,dft_rigid_maximum,0.705818342
methyl_n_methyl_carbamate,aliphatic_urethane,0,dft_rigid_minimum,0
methyl_n_phenyl_carbamate,aromatic_urethane,-180,largest_rigid_curve_error,31.7167858537
methyl_n_phenyl_carbamate,aromatic_urethane,-90,dft_rigid_maximum,2.0770006928
methyl_n_phenyl_carbamate,aromatic_urethane,0,dft_rigid_minimum,0
methyl_n_phenyl_carbamate,aromatic_urethane,150,planarity_breaking_shoulder_abs150,9.22210840586
