fragment_name,validation_family,requested_angle_degrees,actual_angle_degrees,dft_energy_hartree,gaff2_total_energy_kcal_mol,gaff2_bond_energy_kcal_mol,gaff2_angle_energy_kcal_mol,gaff2_dihedral_energy_kcal_mol,gaff2_improper_energy_kcal_mol,gaff2_coulomb_energy_kcal_mol,gaff2_lj_energy_kcal_mol,point_status,dft_relative_energy_kcal_mol,gaff2_relative_energy_kcal_mol,gaff2_minus_dft_relative_energy_kcal_mol
methyl_n_methyl_carbamate,aliphatic_urethane,-180,-180,-323.830775779,-0.289605168577,0.346180158643,1.00135478319,4.01910149626,0.00137404753741,-15.1225430131,9.4649273589,completed,1.69415306847,8.84225472327,7.1481016548
methyl_n_methyl_carbamate,aliphatic_urethane,-165,-165,-323.828845124,0.746980845879,0.346180158643,1.00135478319,5.10683196849,0.00137404753741,-15.0994541708,9.39069405884,completed,2.90565728305,9.87884073773,6.97318345468
methyl_n_methyl_carbamate,aliphatic_urethane,-150,-150,-323.823624461,2.79948474302,0.346180158643,1.00135478319,8.43250716083,0.00137404753741,-14.8605487904,7.87861738323,completed,6.18167268261,11.9313446349,5.74967195229
methyl_n_methyl_carbamate,aliphatic_urethane,-135,-135,-323.816023389,5.89446532082,0.346180158643,1.00135478319,13.0694667706,0.00137404753741,-14.4771427957,5.95323235654,completed,10.9514170355,15.0263252127,4.0749081772
methyl_n_methyl_carbamate,aliphatic_urethane,-120,-120,-323.807428709,9.58153328761,0.346180158643,1.00135478319,17.7155209681,0.00137404753741,-14.0705492919,4.587652622,completed,16.3446604066,18.7133931795,2.3687327729
methyl_n_methyl_carbamate,aliphatic_urethane,-105,-105,-323.800010192,12.5279258553,0.346180158643,1.00135478319,21.0459409462,0.00137404753741,-13.7571622034,3.8902381231,completed,20.9998501211,21.6597857471,0.659935626
methyl_n_methyl_carbamate,aliphatic_urethane,-90,-90,-323.796400392,13.4273554601,0.346180158643,1.00135478319,22.0738586945,0.00137404753741,-13.614319186,3.61890696227,completed,23.265033694,22.559215352,-0.705818342
methyl_n_methyl_carbamate,aliphatic_urethane,-75,-75,-323.798332605,11.6842722026,0.346180158643,1.00135478319,20.4211364597,0.00137404753741,-13.671973785,3.58620053856,completed,22.0525521291,20.8161320945,-1.2364200346
methyl_n_methyl_carbamate,aliphatic_urethane,-60,-60,-323.805239865,7.56656850201,0.346180158643,1.00135478319,16.4266878335,0.00137404753741,-13.9148569133,3.70582859242,completed,17.7181809725,16.6984283939,-1.0197525786
methyl_n_methyl_carbamate,aliphatic_urethane,-45,-45,-323.814731276,2.0646370518,0.346180158643,1.00135478319,11.0627489228,0.00137404753741,-14.2867184129,3.93969755253,completed,11.7622302316,11.1964969436,-0.565733288
