   1.2481980308   -2.3707045235    2.6821327291
   0.9594932368   -1.3874662908    2.6821327291
  -2.3154404260   -1.8583306658    2.6821327291
  -2.3154404260   -2.8830783812    2.6821327291
  -0.3173282886   -4.4553931591    1.6321327291
  -0.7591459088   -0.9633170965    3.7408268081
   0.2208540912   -0.9633170965    3.4782365996
  -0.2691459088   -0.1146122007    3.4782365996
  -1.2491459088   -0.1146122007    3.4782365996
  -1.7391459088   -0.9633170965    3.4782365996
   0.9382638827   -0.9633170965    2.7608268081
   0.6140874589    0.0343953460    2.7608268081
  -2.1323792764    0.0343953460    2.7608268081
  -2.4565557002   -0.9633170965    2.7608268081
   1.2008540912   -0.9633170965    1.7808268081
   0.9382638827    0.0166829035    1.7808268081
  -2.7191459088   -0.9633170965    1.7808268081
   1.2119646161   -0.3008804796    0.6053168477
  -2.9270132005   -0.8034433746    0.6053168477
   0.6419131700    0.6823577531   -0.4446831523
  -2.6330204927    0.2114933781   -0.4446831523
   1.1038037590   -0.8122205016   -0.5032282231
   0.8412135504    0.1677794984   -0.5032282231
  -2.8161962410   -0.8122205016   -0.5032282231
  -2.5536060324   -1.7922205016   -0.5032282231
  -1.8361962410   -2.5096302930   -0.5032282231
  -0.8561962410   -2.7722205016   -0.5032282231
   0.8412135504   -1.7922205016   -0.5032282231
   0.8412135504   -0.8122205016   -1.4832282231
   0.5170371267    0.1854919409   -1.4832282231
  -2.2294296087    0.1854919409   -1.4832282231
  -2.5536060324   -0.8122205016   -1.4832282231
  -2.2294296087   -1.8099329441   -1.4832282231
  -1.3807247130   -2.4265531445   -1.4832282231
  -0.3316677690   -2.4265531445   -1.4832282231
   0.5170371267   -1.8099329441   -1.4832282231
   0.1238037590   -0.8122205016   -2.2006380146
  -0.3661962410    0.0364843941   -2.2006380146
  -1.3461962410    0.0364843941   -2.2006380146
  -1.8361962410   -0.8122205016   -2.2006380146
  -1.3461962410   -1.6609253973   -2.2006380146
  -0.3661962410   -1.6609253973   -2.2006380146
  -0.8561962410   -0.8122205016   -2.4632282231
   0.7552336999    1.0236201257    1.9112999525
   0.4665289060    2.0068583584    1.9112999525
  -2.8084047568    1.5359939834    1.9112999525
  -2.8084047568    0.5112462680    1.9112999525
   1.0365803520    1.0236201257    0.8612999525
   0.7960380059    1.9995387870    0.8612999525
  -3.1023974646    0.5210572307    0.8612999525
   0.7552336999    1.0236201257   -0.1887000475
  -2.4421559781    3.3706153048    0.8713130804
   0.8488086881    1.9961688111   -0.1786869196
  -1.5100126690    3.7963108903   -1.2286869196
  -1.7761913119    2.9054954851   -1.9973402675
   1.9471398645   -2.5785668495    1.5955138435
   1.5733315370   -1.5515369103    1.5955138435
   0.6268156251   -4.1520680053    1.5955138435
   1.5733315370   -3.6055967888    1.5955138435
   1.9471398645   -2.5785668495    0.5572167424
   1.5733315370   -1.5515369103    0.5572167424
   0.6268156251   -4.1520680053    0.5572167424
   1.5733315370   -3.6055967888    0.5572167424
   1.3368441410   -2.5785668495   -0.2827832576
   0.6545127789   -3.5177154001   -0.2827832576
   0.3493649172   -2.5785668495   -0.6036347071
  -2.2337722203   -3.4044243301    2.4958794775
  -2.9363020743   -2.2775273888    1.6558794775
  -2.9363020743   -3.3704698218    1.6558794775
  -2.2337722203   -4.2077122993    1.6558794775
  -1.1574340386   -4.3974997611    1.6558794775
  -2.9363020743   -2.2775273888    0.6175823764
  -2.9363020743   -3.3704698218    0.6175823764
  -2.2337722203   -4.2077122993    0.6175823764
  -1.1574340386   -4.3974997611    0.6175823764
  -2.2337722203   -2.2435728806   -0.2224176236
  -2.2337722203   -3.4044243301   -0.2224176236
  -1.1297368848   -3.7631471559   -0.2224176236
  -1.4348847466   -2.8239986053   -0.5432690731
  -0.4766467782   -2.8070277045    4.3104724305
   0.5108324456   -2.8070277045    3.9896209811
  -0.1714989165   -1.8678791540    3.9896209811
  -1.2755342519   -2.2266019798    3.9896209811
  -1.2755342519   -3.3874534293    3.9896209811
  -0.1714989165   -3.7461762551    3.9896209811
   1.1211281692   -2.8070277045    3.1496209811
  -1.9780641060   -3.3534989210    3.1496209811
  -1.2755342519   -4.1907413985    3.1496209811
  -0.1991960703   -4.3805288603    3.1496209811
   0.7473198416   -3.8340576438    3.1496209811
  -1.0956897848    1.2910054389    3.5147033345
  -0.1082105610    1.2910054389    3.1938518850
  -0.7905419231    2.2301539895    3.1938518850
  -1.8945772585    1.8714311636    3.1938518850
  -1.8945772585    0.7105797142    3.1938518850
   0.5020851626    1.2910054389    2.3538518850
   0.1282768350    2.3180353782    2.3538518850
