fragment_name,validation_family,atom_count,functional_core_atom_count,maximum_absolute_joint_minus_independent_mean_e,maximum_core_absolute_joint_minus_independent_mean_e,maximum_independent_conformer_sample_std_e,maximum_core_independent_conformer_sample_std_e,production_md_permission
ethyl_isocyanate,aliphatic_terminal_isocyanate,10,3,0.0581187273983,0.0405761037637,0.0112517710278,0.00339095745076,blocked_fragment_to_polymer_transfer_and_forcefield_validation
methyl_n_methyl_carbamate,aliphatic_urethane,13,4,0.036828755463,0.036828755463,0.00748283049851,0.00748283049851,blocked_fragment_to_polymer_transfer_and_forcefield_validation
phenyl_isocyanate,aromatic_terminal_isocyanate,14,3,0.000877690798,0.000228446275667,0.0171063591326,0.00869157129609,blocked_fragment_to_polymer_transfer_and_forcefield_validation
methyl_n_phenyl_carbamate,aromatic_urethane,20,4,0.029761936339,0.026938353712,0.058560825157,0.0472887811647,blocked_fragment_to_polymer_transfer_and_forcefield_validation
