fragment_name,validation_family,smiles,functional_core,atom_index_zero_based,element,joint_stage1_esp_charge_e,joint_stage1_resp_charge_e,joint_stage2_esp_charge_e,joint_stage2_resp_charge_e,independent_conformer_count,independent_mean_e,independent_sample_std_e,joint_minus_independent_mean_e,absolute_joint_minus_independent_mean_e
phenyl_isocyanate,aromatic_terminal_isocyanate,O=C=Nc1ccccc1,True,1,C,0.769565161727,0.748037393947,0.748037393947,0.748037393947,3,0.747891023416,0.00869157129609,0.000146370530667,0.000146370530667
phenyl_isocyanate,aromatic_terminal_isocyanate,O=C=Nc1ccccc1,True,2,N,-0.556437330907,-0.507137853457,-0.507137853457,-0.507137853457,3,-0.506909407181,0.00555645101132,-0.000228446275667,0.000228446275667
phenyl_isocyanate,aromatic_terminal_isocyanate,O=C=Nc1ccccc1,False,3,C,0.396421689333,0.206852493729,0.206852493729,0.206852493729,3,0.206055634605,0.0171063591326,0.000796859123667,0.000796859123667
phenyl_isocyanate,aromatic_terminal_isocyanate,O=C=Nc1ccccc1,False,4,C,-0.279754997927,-0.119064985995,-0.119064985995,-0.119064985995,3,-0.118187295197,0.0169864978659,-0.000877690798,0.000877690798
phenyl_isocyanate,aromatic_terminal_isocyanate,O=C=Nc1ccccc1,False,5,C,-0.109013710846,-0.216799827384,-0.216799827384,-0.216799827384,3,-0.217401211288,0.0136856918589,0.000601383903667,0.000601383903667
phenyl_isocyanate,aromatic_terminal_isocyanate,O=C=Nc1ccccc1,False,6,C,-0.179455618632,-0.0853757239521,-0.0853757239521,-0.0853757239521,3,-0.0851785585202,0.00495947978435,-0.000197165431867,0.000197165431867
phenyl_isocyanate,aromatic_terminal_isocyanate,O=C=Nc1ccccc1,False,7,C,-0.111305455744,-0.21941573909,-0.21941573909,-0.21941573909,3,-0.218877174259,0.0113661070125,-0.000538564831,0.000538564831
phenyl_isocyanate,aromatic_terminal_isocyanate,O=C=Nc1ccccc1,False,8,C,-0.272619754682,-0.112344355059,-0.112344355059,-0.112344355059,3,-0.112685190737,0.00886394697756,0.000340835678333,0.000340835678333
phenyl_isocyanate,aromatic_terminal_isocyanate,O=C=Nc1ccccc1,False,9,H,0.171304904042,0.139039144519,0.139039144519,0.139039144519,3,0.138902106391,0.00312729025847,0.000137038128333,0.000137038128333
phenyl_isocyanate,aromatic_terminal_isocyanate,O=C=Nc1ccccc1,False,10,H,0.151139879197,0.166092281175,0.166092281175,0.166092281175,3,0.166208677107,0.00325555979677,-0.000116395932333,0.000116395932333
