candidate_id,component_role,canonical_smiles,inchi_key,query_status,pubchem_cid,pubchem_vendor_record_count,pubchem_distinct_vendor_count,pubchem_vendor_names,catalog_prefilter_status,queried_utc
chemical_79b196ca779aae4e,chain_extender,OCc1ccccc1CO,XMUZQOKACOLCSS-UHFFFAOYSA-N,completed,69153.0,80.0,63.0,"001Chemical;10X CHEM;A2B Chem;AA BLOCKS;AChemBlock;AKos Consulting & Solutions;AbaChemScene;Accel Scientific;Accela ChemBio Inc.;Acmec Biochemical;Activate Scientific;AiFChem, an XtalPi Company;Aladdin Scientific;Alfa Chemistry;Allbio Pharm Co., Ltd;Ambeed;Angene Chemical;AppChem;AstaTech, Inc.;BLD Pharm;BOC Sciences;BenchChem;CAPOT;Chem-Space.com Database;Chemenu Inc.;ChemoSapiens;Combi-Blocks;Cooke Chemical Co., Ltd;CymitQuimica;DSL Chemicals;Finetech Industry Limited;Fluorochem;Georganics;Hairui Chemical;Halochem;Hangzhou APIChem Technology;J&H Chemical Co.,ltd;Key Organics/BIONET;Matrix Scientific;Mcule;MolCore;Molport;MuseChem;Oakwood Products;Pi Chemicals;RR Scientific;Rare Chemicals GmbH, Germany;Sigma-Aldrich;Sinfoo Biotech;Smolecule;Starshine Chemical;SynHet - Synthetic Heterocycles;Synthonix, Inc.;TCI (Tokyo Chemical Industry);Thermo Fisher Scientific;Thoreauchem;TimTec;VladaChem;Win-Win Chemical;Yuhao Chemical;abcr GmbH;eMolecules;eNovation Chemicals",catalog_index_hit,2026-08-24T12:22:16.719693+00:00
chemical_7eec20377145fdb7,chain_extender,CC1(C)C(O)C(C)(C)C1O,FQXGHZNSUOHCLO-UHFFFAOYSA-N,completed,76382.0,87.0,61.0,"001Chemical;10X CHEM;1st Scientific;A2B Chem;AA BLOCKS;AKos Consulting & Solutions;AbaChemScene;Accel Scientific;Activate Scientific;AiFChem, an XtalPi Company;Aladdin Scientific;Alfa Chemistry;Ambeed;Ambinter;Angene Chemical;AppChem;AstaTech, Inc.;BLD Pharm;BOC Sciences;BenchChem;Biosynth;CAPOT;CATO Research Chemicals Inc.;Chem-Space.com Database;ChemShuttle;Chemenu Inc.;ChemoSapiens;Combi-Blocks;Cooke Chemical Co., Ltd;CymitQuimica;DSL Chemicals;Enamine;EvitaChem;Finetech Industry Limited;Fluorochem;Frinton Laboratories;Hairui Chemical;Key Organics/BIONET;LGC Standards;Matrix Scientific;Mcule;MolCore;Molport;MuseChem;Oakwood Products;PharmaBlock;Pi Chemicals;RR Scientific;Sigma-Aldrich;Sinfoo Biotech;Smolecule;Starshine Chemical;SynHet - Synthetic Heterocycles;Synthonix, Inc.;TCI (Tokyo Chemical Industry);TimTec;VladaChem;Win-Win Chemical;abcr GmbH;eMolecules;eNovation Chemicals",catalog_index_hit,2026-08-24T12:22:20.278850+00:00
chemical_831d24f7368b3f75,chain_extender,Cc1cc(-c2cc(C)c(O)c(C)c2)cc(C)c1O,YGYPMFPGZQPETF-UHFFFAOYSA-N,completed,75490.0,60.0,54.0,"001Chemical;10X CHEM;A2B Chem;AA BLOCKS;AKos Consulting & Solutions;AbaChemScene;Accel Scientific;Accela ChemBio Inc.;AiFChem, an XtalPi Company;Aladdin Scientific;Alfa Chemistry;Ambeed;Angene Chemical;AppChem;AstaTech, Inc.;BLD Pharm;BOC Sciences;BenchChem;CATO Research Chemicals Inc.;Chem-Space.com Database;Chemenu Inc.;ChemoSapiens;Combi-Blocks;CymitQuimica;DSL Chemicals;Debye Scientific Co., Ltd;Enamine;Finetech Industry Limited;Fluorochem;Glentham Life Sciences Ltd.;Hairui Chemical;Hangzhou APIChem Technology;J&H Chemical Co.,ltd;LGC Standards;Mcule;MolCore;Molport;MuseChem;Oakwood Products;RR Scientific;Sigma-Aldrich;Sinfoo Biotech;Smolecule;Starshine Chemical;SynHet - Synthetic Heterocycles;Synthonix, Inc.;TCI (Tokyo Chemical Industry);Thoreauchem;TimTec;Win-Win Chemical;Yuhao Chemical;abcr GmbH;eMolecules;eNovation Chemicals",catalog_index_hit,2026-08-24T12:22:23.167247+00:00
chemical_bacbda6c95c1bb67,chain_extender,Cc1ccc(O)c(Cc2cc(C)ccc2O)c1,XZXYQEHISUMZAT-UHFFFAOYSA-N,completed,76715.0,50.0,44.0,"001Chemical;10X CHEM;A2B Chem;AA BLOCKS;AKos Consulting & Solutions;AbaChemScene;Accel Scientific;Aladdin Scientific;Alfa Chemistry;Angel Pharmatech Ltd.;Angene Chemical;AppChem;AstaTech, Inc.;BLD Pharm;BOC Sciences;BenchChem;CATO Research Chemicals Inc.;Chem-Space.com Database;ChemoSapiens;Combi-Blocks;Cooke Chemical Co., Ltd;CymitQuimica;Debye Scientific Co., Ltd;DempoChem;Finetech Industry Limited;Fluorochem;Hairui Chemical;J&H Chemical Co.,ltd;Key Organics/BIONET;LGC Standards;Mcule;MolCore;Molport;MuseChem;RR Scientific;Sigma-Aldrich;Smolecule;Starshine Chemical;SynHet - Synthetic Heterocycles;TCI (Tokyo Chemical Industry);Win-Win Chemical;abcr GmbH;eMolecules;eNovation Chemicals",catalog_index_hit,2026-08-24T12:22:27.603383+00:00
chemical_c68025b85cef6d56,chain_extender,OCC(CO)OCc1ccccc1,UDIPIOHLDFSMLR-UHFFFAOYSA-N,completed,203567.0,62.0,55.0,"001Chemical;10X CHEM;1st Scientific;A2B Chem;AA BLOCKS;AChemBlock;AKos Consulting & Solutions;AbaChemScene;Accel Scientific;Accela ChemBio Inc.;Acmec Biochemical;Activate Scientific;AiFChem, an XtalPi Company;Aladdin Scientific;Alfa Chemistry;Ambeed;Angel Pharmatech Ltd.;Angene Chemical;AppChem;AstaTech, Inc.;BLD Pharm;BOC Sciences;BenchChem;CAPOT;Chem-Space.com Database;ChemShuttle;Chemenu Inc.;ChemoSapiens;Combi-Blocks;Cooke Chemical Co., Ltd;CymitQuimica;DSL Chemicals;Debye Scientific Co., Ltd;Finetech Industry Limited;Fluorochem;Hairui Chemical;Key Organics/BIONET;LGC Standards;Mcule;MolCore;Molport;MuseChem;Pi Chemicals;RR Scientific;Sigma-Aldrich;Sinfoo Biotech;Smolecule;Starshine Chemical;SynHet - Synthetic Heterocycles;TCI (Tokyo Chemical Industry);Thoreauchem;Yuhao Chemical;abcr GmbH;eMolecules;eNovation Chemicals",catalog_index_hit,2026-08-24T12:22:31.545984+00:00
chemical_ca5e105838153c99,chain_extender,CCC(CO)CC(CC)CO,OJRJDENLRJHEJO-UHFFFAOYSA-N,completed,11344163.0,40.0,37.0,"10X CHEM;A2B Chem;AA BLOCKS;AKos Consulting & Solutions;AbaChemScene;Aladdin Scientific;Alfa Chemistry;Ambinter;Angene Chemical;AppChem;BLD Pharm;BOC Sciences;BenchChem;CATO Research Chemicals Inc.;Chemenu Inc.;ChemoSapiens;Clearsynth;Combi-Blocks;Cooke Chemical Co., Ltd;CymitQuimica;Debye Scientific Co., Ltd;Finetech Industry Limited;Fluorochem;Frinton Laboratories;J&H Chemical Co.,ltd;Matrix Scientific;Mcule;Molport;RR Scientific;Sigma-Aldrich;Smolecule;Starshine Chemical;TCI (Tokyo Chemical Industry);TimTec;Win-Win Chemical;abcr GmbH;eMolecules",catalog_index_hit,2026-08-24T12:22:34.634702+00:00
chemical_dd2ebb8c8aeed446,chain_extender,Oc1ccc2c(O)cccc2c1,FZZQNEVOYIYFPF-UHFFFAOYSA-N,completed,68463.0,81.0,64.0,"001Chemical;10X CHEM;A2B Chem;AA BLOCKS;AKos Consulting & Solutions;AbaChemScene;Accel Scientific;Accela ChemBio Inc.;Acmec Biochemical;Activate Scientific;AgroIntelBioScan.com;AiFChem, an XtalPi Company;Aladdin Scientific;Alfa Chemistry;Allbio Pharm Co., Ltd;Ambeed;Angene Chemical;AppChem;AstaTech, Inc.;BLD Pharm;BOC Sciences;BenchChem;Biosynth;Chem-Space.com Database;ChemShuttle;Chemenu Inc.;ChemoSapiens;Clearsynth;Combi-Blocks;Cooke Chemical Co., Ltd;CymitQuimica;Enamine;Finetech Industry Limited;Fluorochem;Glentham Life Sciences Ltd.;Hairui Chemical;Hangzhou APIChem Technology;J&H Chemical Co.,ltd;Key Organics/BIONET;LGC Standards;Matrix Scientific;Mcule;MolCore;Molport;MuseChem;Oakwood Products;Pi Chemicals;RR Scientific;Sigma-Aldrich;Sinfoo Biotech;Smolecule;Starshine Chemical;SynHet - Synthetic Heterocycles;Synthonix, Inc.;TCI (Tokyo Chemical Industry);Thermo Fisher Scientific;Thoreauchem;TimTec;Vitas-M Laboratory;VladaChem;Yuhao Chemical;abcr GmbH;eMolecules;eNovation Chemicals",catalog_index_hit,2026-08-24T12:22:38.170759+00:00
chemical_f25ee56de4366915,chain_extender,O=[N+]([O-])c1cc(CO)ccc1CO,KWVHOBYJXDKIPL-UHFFFAOYSA-N,completed,90035.0,49.0,46.0,"001Chemical;10X CHEM;1st Scientific;A2B Chem;AA BLOCKS;AChemBlock;AKos Consulting & Solutions;AbaChemScene;Accel Scientific;Accela ChemBio Inc.;Acmec Biochemical;Activate Scientific;AiFChem, an XtalPi Company;Alfa Chemistry;Ambeed;Angel Pharmatech Ltd.;Angene Chemical;AppChem;AstaTech, Inc.;BLD Pharm;BOC Sciences;BenchChem;CATO Research Chemicals Inc.;Chem-Space.com Database;Chemenu Inc.;ChemoSapiens;Combi-Blocks;CymitQuimica;Debye Scientific Co., Ltd;Finetech Industry Limited;Fluorochem;Hairui Chemical;J&H Chemical Co.,ltd;Key Organics/BIONET;Mcule;MolCore;Molport;RR Scientific;Smolecule;Starshine Chemical;SynHet - Synthetic Heterocycles;Synthonix, Inc.;TCI (Tokyo Chemical Industry);abcr GmbH;eMolecules;eNovation Chemicals",catalog_index_hit,2026-08-24T12:22:41.306548+00:00
polyuniverse_dinco_016bfd4c165aa545a7db,diisocyanate,Cc1c(CCCCCCN=C=O)cccc1N=C=O,AQBZWWPUJZVSDF-UHFFFAOYSA-N,pubchem_not_found,,,,,,2026-08-24T12:22:42.936805+00:00
polyuniverse_dinco_01a65934dd666174775c,diisocyanate,O=C=NCCC1CC2CC1C1CCC(CCN=C=O)C21,GYOVIEDQQVQZFJ-UHFFFAOYSA-N,completed,132162284.0,0.0,0.0,,no_vendor_index_hit,2026-08-24T12:22:44.597159+00:00
