queue_rank,formulation_id,combination_id,diisocyanate_id,diisocyanate_smiles,macrodiol_proxy_id,macrodiol_proxy_smiles,chain_extender_id,chain_extender_smiles,macrodiol_nominal_mn_g_mol,hard_segment_mass_fraction_target,nco_oh_ratio_target,total_structure_review_alert_count,procurement_status,ehs_status,literature_novelty_status,experimental_eligibility,dft_stage,dft_protocol_id,dft_calculation_status,dft_input_status,md_stage,md_block_reason,queue_selection_basis,performance_claim_status,citation_keys
11,formulation_bacf66d760912377,combo_a1fd0af576688e79,polyuniverse_dinco_a5809ed0bb50011d11e7,CC(C)c1ncc(F)c(C(C)CC2Cc3c(nc4c(c3N=C=O)CCC4)C2C)c1N=C=O,chemical_0895e6cd5136df6a,OCCOc1ccc(C2(c3ccc(OCCO)cc3)c3ccccc3-c3ccccc32)cc1,chemical_72b7ed7d3d268fd7,CC(C)CC(CO)(CO)CC(C)C,2000,0.45,1.02,4,not_checked,requires_sds_and_local_EHS_review,not_checked,blocked_pending_manual_review,tier1_monomer_reactivity_and_conformer_screen,TPU-DFT-T1-v1,not_started,requires_conformer_generation_and_charge_spin_review,on_hold_pending_real_macrodiol_identity_Mn_Mw_PDI,macrodiol_is_structure_proxy_not_real_oligomer_distribution,component_union_morgan_maxmin_diversity,no_performance_claim,ledger-007-smipoly-2023;ledger-135-yue-2024-polyuniverse-data;ledger-136-yue-2024-polyuniverse;ledger-137-yue-polyuniverse-code
12,formulation_3267b5076f572703,combo_d7936b994c5d24c6,polyuniverse_dinco_81e1e90ea24f1e711a99,CC(N=C=O)C1(C)CC(N=C=O)CC(C)(C)C1,chemical_986d2a218ca14417,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CO,chemical_7eec20377145fdb7,CC1(C)C(O)C(C)(C)C1O,2000,0.45,1.02,2,not_checked,requires_sds_and_local_EHS_review,not_checked,blocked_pending_manual_review,tier1_monomer_reactivity_and_conformer_screen,TPU-DFT-T1-v1,not_started,requires_conformer_generation_and_charge_spin_review,on_hold_pending_real_macrodiol_identity_Mn_Mw_PDI,macrodiol_is_structure_proxy_not_real_oligomer_distribution,component_union_morgan_maxmin_diversity,no_performance_claim,ledger-007-smipoly-2023;ledger-135-yue-2024-polyuniverse-data;ledger-136-yue-2024-polyuniverse;ledger-137-yue-polyuniverse-code
13,formulation_89fc01e595ab936f,combo_dfa31a92eb75951a,polyuniverse_dinco_1fc69a034afa52f3206d,O=C=Nc1ccc(C23CC4CC5(c6ccc(N=C=O)cc6)CC(C2)C5(C4)C3)cc1,chemical_58b2613823466190,CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,chemical_c68025b85cef6d56,OCC(CO)OCc1ccccc1,2000,0.45,1.02,4,not_checked,requires_sds_and_local_EHS_review,not_checked,blocked_pending_manual_review,tier1_monomer_reactivity_and_conformer_screen,TPU-DFT-T1-v1,not_started,requires_conformer_generation_and_charge_spin_review,on_hold_pending_real_macrodiol_identity_Mn_Mw_PDI,macrodiol_is_structure_proxy_not_real_oligomer_distribution,component_union_morgan_maxmin_diversity,no_performance_claim,ledger-007-smipoly-2023;ledger-135-yue-2024-polyuniverse-data;ledger-136-yue-2024-polyuniverse;ledger-137-yue-polyuniverse-code
14,formulation_be53ffd39c7204ae,combo_355d5baf6345a3cb,polyuniverse_dinco_ac4be1eff9a2d8a5bde3,CCCc1cc(C(C)C)c(N=C=O)c(CCC)c1N=C=O,chemical_34962dac292231e7,Cc1cc(Cc2cc(C)c(O)c(C)c2)cc(C)c1O,chemical_2dad29ca9d88607e,OC1CCC(C2CCC(O)CC2)CC1,2000,0.45,1.02,3,not_checked,requires_sds_and_local_EHS_review,not_checked,blocked_pending_manual_review,tier1_monomer_reactivity_and_conformer_screen,TPU-DFT-T1-v1,not_started,requires_conformer_generation_and_charge_spin_review,on_hold_pending_real_macrodiol_identity_Mn_Mw_PDI,macrodiol_is_structure_proxy_not_real_oligomer_distribution,component_union_morgan_maxmin_diversity,no_performance_claim,ledger-007-smipoly-2023;ledger-135-yue-2024-polyuniverse-data;ledger-136-yue-2024-polyuniverse;ledger-137-yue-polyuniverse-code
15,formulation_6bdeebac2cd102ba,combo_a60a2730d59996f6,polyuniverse_dinco_4716b4743a5baa106de3,O=C=Nc1cc2cccc(N=C=O)c2nc1-c1cccc(OC(F)(F)F)c1,chemical_986d2a218ca14417,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CO,chemical_79b196ca779aae4e,OCc1ccccc1CO,2000,0.45,1.02,5,not_checked,requires_sds_and_local_EHS_review,not_checked,blocked_pending_manual_review,tier1_monomer_reactivity_and_conformer_screen,TPU-DFT-T1-v1,not_started,requires_conformer_generation_and_charge_spin_review,on_hold_pending_real_macrodiol_identity_Mn_Mw_PDI,macrodiol_is_structure_proxy_not_real_oligomer_distribution,component_union_morgan_maxmin_diversity,no_performance_claim,ledger-007-smipoly-2023;ledger-135-yue-2024-polyuniverse-data;ledger-136-yue-2024-polyuniverse;ledger-137-yue-polyuniverse-code
16,formulation_f9835c3b878d6138,combo_4fad96892f95dbad,polyuniverse_dinco_952c8476d31239835550,O=C=NCC1(CN=C=O)CCCC(F)(F)C1(F)F,chemical_5e814be594638bdc,OCCCCCCCCCCCCCCCCO,chemical_5be20976c2a9d662,Oc1c(F)c(F)c(O)c(F)c1F,2000,0.45,1.02,4,not_checked,requires_sds_and_local_EHS_review,not_checked,blocked_pending_manual_review,tier1_monomer_reactivity_and_conformer_screen,TPU-DFT-T1-v1,not_started,requires_conformer_generation_and_charge_spin_review,on_hold_pending_real_macrodiol_identity_Mn_Mw_PDI,macrodiol_is_structure_proxy_not_real_oligomer_distribution,component_union_morgan_maxmin_diversity,no_performance_claim,ledger-007-smipoly-2023;ledger-135-yue-2024-polyuniverse-data;ledger-136-yue-2024-polyuniverse;ledger-137-yue-polyuniverse-code
17,formulation_5a2af8267f6b2670,combo_033d6cac63dc70c6,polyuniverse_dinco_e6e130471887a66db2b6,CCOC(N=C=O)(OCC)C(N=C=O)c1ccccc1-c1ccccc1,chemical_b94fa835d3f1bdb8,CC(C)(CO)C1OCC2(CO1)COC(C(C)(C)CO)OC2,chemical_3635aefc1005d8ad,CC(C)(O)CCC(C)(C)O,2000,0.45,1.02,2,not_checked,requires_sds_and_local_EHS_review,not_checked,blocked_pending_manual_review,tier1_monomer_reactivity_and_conformer_screen,TPU-DFT-T1-v1,not_started,requires_conformer_generation_and_charge_spin_review,on_hold_pending_real_macrodiol_identity_Mn_Mw_PDI,macrodiol_is_structure_proxy_not_real_oligomer_distribution,component_union_morgan_maxmin_diversity,no_performance_claim,ledger-007-smipoly-2023;ledger-135-yue-2024-polyuniverse-data;ledger-136-yue-2024-polyuniverse;ledger-137-yue-polyuniverse-code
18,formulation_15ee015efd2bbad4,combo_bf668cbd19fccb1d,polyuniverse_dinco_d9e0e5b183928d0c3023,CC(C)(N=C=O)c1ccc2c(C(C)(C)N=C=O)cccc2c1,chemical_694871d5e95b7370,Oc1c(F)c(F)c(-c2c(F)c(F)c(O)c(F)c2F)c(F)c1F,chemical_706c38f2fda91d2c,CCC(C)(c1ccc(O)cc1)c1ccc(O)cc1,2000,0.45,1.02,5,not_checked,requires_sds_and_local_EHS_review,not_checked,blocked_pending_manual_review,tier1_monomer_reactivity_and_conformer_screen,TPU-DFT-T1-v1,not_started,requires_conformer_generation_and_charge_spin_review,on_hold_pending_real_macrodiol_identity_Mn_Mw_PDI,macrodiol_is_structure_proxy_not_real_oligomer_distribution,component_union_morgan_maxmin_diversity,no_performance_claim,ledger-007-smipoly-2023;ledger-135-yue-2024-polyuniverse-data;ledger-136-yue-2024-polyuniverse;ledger-137-yue-polyuniverse-code
19,formulation_3b2ce86adc4e0855,combo_ea71d2215ed62c01,polyuniverse_dinco_0499900e71bdb9da6b5c,CCCC(N=C=O)C1CC2CC(C(C)N=C=O)C1C2,chemical_a04b7de5081dd0a5,CC(C)CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,chemical_2a0d22152800ae85,Oc1ccc(Oc2ccc(O)cc2)cc1,2000,0.45,1.02,3,not_checked,requires_sds_and_local_EHS_review,not_checked,blocked_pending_manual_review,tier1_monomer_reactivity_and_conformer_screen,TPU-DFT-T1-v1,not_started,requires_conformer_generation_and_charge_spin_review,on_hold_pending_real_macrodiol_identity_Mn_Mw_PDI,macrodiol_is_structure_proxy_not_real_oligomer_distribution,component_union_morgan_maxmin_diversity,no_performance_claim,ledger-007-smipoly-2023;ledger-135-yue-2024-polyuniverse-data;ledger-136-yue-2024-polyuniverse;ledger-137-yue-polyuniverse-code
20,formulation_a20572398926422e,combo_d1b6a4901e576f67,polyuniverse_dinco_43658c980f2b703f5352,O=C=Nc1cc2c(N=C=O)c(c1Cl)-c1ccc-2cc1Cl,chemical_5e814be594638bdc,OCCCCCCCCCCCCCCCCO,chemical_63c6eb608324eca7,OCC1CC2C3CC(CO)C(C3)C2C1,2000,0.45,1.02,3,not_checked,requires_sds_and_local_EHS_review,not_checked,blocked_pending_manual_review,tier1_monomer_reactivity_and_conformer_screen,TPU-DFT-T1-v1,not_started,requires_conformer_generation_and_charge_spin_review,on_hold_pending_real_macrodiol_identity_Mn_Mw_PDI,macrodiol_is_structure_proxy_not_real_oligomer_distribution,component_union_morgan_maxmin_diversity,no_performance_claim,ledger-007-smipoly-2023;ledger-135-yue-2024-polyuniverse-data;ledger-136-yue-2024-polyuniverse;ledger-137-yue-polyuniverse-code
