SSID,ZS_CHS,ZS_R,ZS_log_Tr1K,ZS_log_Tr2K,PMStep,Form_Method,ZS_log_CSArea,ZS_log_StrainRate,ZS_log_PO_MW,ZS_log_FCVm,ZS_FCCED,ZS_log_Fchi,ZS_SS_TPSA_norm,ZS_SS_MolLogP_norm,ZS_HS_BertzCT,ZS_SS_VSA_EState8,ZS_SS_PEOE_VSA8,ZS_log_HS_NumNHCO_norm,ZS_FC_NumHAcceptors_norm,ZS_FC_RingCount_norm,logEB,logYM,logTS
SS1,-0.282081317,-0.45846916,-1.149485666,-0.446447718,2,2,-1.236621747,-0.293492223,0.242955685,-0.32658365,-0.185577683,0.469205423,-0.557772199,0.185004065,-0.805161372,0.062210277,1.097456765,0.732260751,0.925152691,0.057910599,1.187520721,1.568201724,1.830588669
SS2,-0.217933903,-0.45846916,-1.149485666,-0.446447718,2,2,-1.236621747,-0.293492223,0.242955685,-0.306909165,-0.218765712,0.357316875,-0.557772199,0.185004065,-0.735945002,0.062210277,1.097456765,0.608138941,0.703301924,-0.035137248,1.176091259,1.494154594,1.673020907
