comID,MolecularFormula,MolecularWeight,SMILES,IUPACName
CID446094,C4H10O2S2,154.3,C(C(C(CS)O)O)S,"(2S,3S)-1,4-bis(sulfanyl)butane-2,3-diol"
CID439352,C4H10O2S2,154.3,C(C(C(CS)O)O)S,"(2R,3S)-1,4-bis(sulfanyl)butane-2,3-diol"
