fragment_name,validation_family,requested_angle_degrees,selection_reason,final_angle_degrees,angle_drift_degrees,relaxed_dft_energy_hartree,point_status,elapsed_seconds,error_message,relaxed_dft_relative_energy_kcal_mol,attempt_kind,attempt_release_id,optimizer_profile,geom_maxiter,base_point_status,retry_point_status,selected_attempt,dft_relative_energy_kcal_mol,gaff2_relative_energy_kcal_mol,gaff2_minus_dft_relative_energy_kcal_mol,relaxation_change_from_rigid_dft_kcal_mol
methyl_n_methyl_carbamate,aliphatic_urethane,-180,largest_rigid_curve_error,-179.999622509,0.000377490503155,-323.833345305,completed,222.454,,1.2373883999692865,base_v1,tpu-relaxed-scan-aliphatic-urethane-20260825-v1,standard_v1,50,completed,,base_v1,1.69415306847,8.84225472327,7.1481016548,-0.4567646685007134
methyl_n_methyl_carbamate,aliphatic_urethane,-150,planarity_breaking_shoulder_abs150,-150.000000003,2.58603449765e-09,-323.832155209,completed,167.242,,1.984185410405999,base_v1,tpu-relaxed-scan-aliphatic-urethane-20260825-v1,standard_v1,50,completed,,base_v1,6.18167268261,11.9313446349,5.74967195229,-4.197487272204001
methyl_n_methyl_carbamate,aliphatic_urethane,-90,dft_rigid_maximum,-90.0000000004,3.66028984899e-10,-323.816583351,completed,330.601,,11.755673581228718,retry_v2,tpu-reality-md-urethane-relax-aliphatic-minus90-20260825-v2,difficult_v2,200,failed_OptimizationConvergenceError,completed,retry_v2,23.265033694,22.559215352,-0.705818342,-11.509360112771281
methyl_n_methyl_carbamate,aliphatic_urethane,0,dft_rigid_minimum,8.71429508468e-05,8.71429508468e-05,-323.835317209,completed,237.468,,0.0,base_v1,tpu-relaxed-scan-aliphatic-urethane-20260825-v1,standard_v1,50,completed,,base_v1,0,0,0,0.0
methyl_n_phenyl_carbamate,aromatic_urethane,-180,largest_rigid_curve_error,-179.999419975,0.000580024843714,-515.648080185,completed,258.962,,2.537902227054502,retry_v2,tpu-reality-md-urethane-relax-aromatic-minus180-20260825-v2,difficult_v2,200,failed_OptimizationConvergenceError,completed,retry_v2,8.52971922672,40.2465050804,31.7167858537,-5.991816999665497
methyl_n_phenyl_carbamate,aromatic_urethane,-90,dft_rigid_maximum,-90.0000000069,6.9280616799e-09,-515.633085398,completed,1395.733,,11.947273131098784,retry_v2,tpu-reality-md-urethane-relax-aromatic-minus90-20260825-v2,difficult_v2,200,failed_OptimizationConvergenceError,completed,retry_v2,19.9652158957,22.0422165885,2.0770006928,-8.017942764601214
methyl_n_phenyl_carbamate,aromatic_urethane,0,dft_rigid_minimum,0.000299829743608,0.000299829743608,-515.65212459,completed,258.223,,0.0,base_v1,tpu-relaxed-scan-aromatic-urethane-20260825-v1,standard_v1,50,completed,,base_v1,0,0,0,0.0
methyl_n_phenyl_carbamate,aromatic_urethane,150,planarity_breaking_shoulder_abs150,150.000000003,3.19502646562e-09,-515.647021498,completed,1216.978,,3.202238094268929,base_v1,tpu-relaxed-scan-aromatic-urethane-20260825-v1,standard_v1,50,completed,,base_v1,8.24276596704,17.4648743729,9.22210840586,-5.040527872771071
