fragment_name,validation_family,planned_points,completed_points,failed_points,maximum_angle_drift_degrees,maximum_absolute_relaxation_change_kcal_mol,elapsed_seconds,relaxed_validation_status,production_md_permission
methyl_n_methyl_carbamate,aliphatic_urethane,4,3,1,0.000377490503155,4.1974872724,1618.83,incomplete_relaxed_dft_subset,blocked_mm_relaxed_refit_and_external_validation
methyl_n_phenyl_carbamate,aromatic_urethane,4,2,2,0.000299829743608,5.04052787309,6290.102,incomplete_relaxed_dft_subset,blocked_mm_relaxed_refit_and_external_validation
