fragment_name,validation_family,smiles,atom_index_zero_based,element,functional_core,vdw_point_density,across_seed_count,across_seed_mean_e,across_seed_sample_std_e,across_seed_min_e,across_seed_max_e,across_seed_range_e
methyl_n_methyl_carbamate,aliphatic_urethane,COC(=O)NC,0,C,False,1,3,0.0123078567097,0.00668221049099,0.00651290603623,0.0196173437265,0.0131044376903
methyl_n_methyl_carbamate,aliphatic_urethane,COC(=O)NC,0,C,False,2,3,0.0479214869818,0.0120309148184,0.039821069863,0.0617456580562,0.0219245881932
methyl_n_methyl_carbamate,aliphatic_urethane,COC(=O)NC,1,O,True,0.5,3,-0.422067314456,0.0130892444648,-0.432707238613,-0.407450991202,0.025256247411
methyl_n_methyl_carbamate,aliphatic_urethane,COC(=O)NC,1,O,True,1,3,-0.46559761371,0.00435935221735,-0.46924460305,-0.460769363922,0.008475239128
methyl_n_methyl_carbamate,aliphatic_urethane,COC(=O)NC,1,O,True,2,3,-0.492560020724,0.00416480179773,-0.497281556729,-0.48940811599,0.007873440739
methyl_n_methyl_carbamate,aliphatic_urethane,COC(=O)NC,2,C,True,0.5,3,0.776158904224,0.0188945671072,0.75543614773,0.792430459172,0.036994311442
methyl_n_methyl_carbamate,aliphatic_urethane,COC(=O)NC,2,C,True,1,3,0.889397873006,0.00630325906549,0.882547458722,0.894952620697,0.012405161975
methyl_n_methyl_carbamate,aliphatic_urethane,COC(=O)NC,2,C,True,2,3,0.945726108439,0.00352134172579,0.94289653661,0.949669726099,0.006773189489
methyl_n_methyl_carbamate,aliphatic_urethane,COC(=O)NC,3,O,True,0.5,3,-0.578259842619,0.00422114437366,-0.582307855389,-0.573884612237,0.008423243152
methyl_n_methyl_carbamate,aliphatic_urethane,COC(=O)NC,3,O,True,1,3,-0.60803845265,0.00356661156803,-0.612153590442,-0.605839643562,0.00631394688
methyl_n_methyl_carbamate,aliphatic_urethane,COC(=O)NC,3,O,True,2,3,-0.622802994045,0.00110483896221,-0.623527092188,-0.621531312882,0.001995779306
methyl_n_methyl_carbamate,aliphatic_urethane,COC(=O)NC,4,N,True,0.5,3,-0.447296786161,0.013736519791,-0.459208468831,-0.432270341872,0.026938126959
methyl_n_methyl_carbamate,aliphatic_urethane,COC(=O)NC,4,N,True,1,3,-0.53853805237,0.00748283049851,-0.545734966241,-0.530798813465,0.014936152776
methyl_n_methyl_carbamate,aliphatic_urethane,COC(=O)NC,4,N,True,2,3,-0.584834173031,0.00920198313983,-0.591975026684,-0.574449595448,0.017525431236
methyl_n_methyl_carbamate,aliphatic_urethane,COC(=O)NC,5,C,False,0.5,3,-0.0679242601443,0.0100286156898,-0.0790882883716,-0.059678322616,0.0194099657556
methyl_n_methyl_carbamate,aliphatic_urethane,COC(=O)NC,5,C,False,1,3,-0.0977156279737,0.00745956799791,-0.104002235633,-0.0894729047831,0.0145293308499
methyl_n_methyl_carbamate,aliphatic_urethane,COC(=O)NC,5,C,False,2,3,-0.103410046126,0.0202996566775,-0.123644931997,-0.0830462327812,0.0405986992158
methyl_n_methyl_carbamate,aliphatic_urethane,COC(=O)NC,6,H,False,0.5,3,0.0836958478148,0.00312639345969,0.081864150591,0.087305763988,0.005441613397
methyl_n_methyl_carbamate,aliphatic_urethane,COC(=O)NC,6,H,False,1,3,0.0773651510351,0.00157927487762,0.0755823575109,0.0785887293389,0.003006371828
methyl_n_methyl_carbamate,aliphatic_urethane,COC(=O)NC,6,H,False,2,3,0.0683529553032,0.00295934773112,0.0649360848505,0.0700999421265,0.005163857276
