fragment_name,validation_family,atom_count,functional_core_atom_count,maximum_atom_overall_range_e,maximum_core_overall_range_e,maximum_atom_across_seed_sample_std_e,maximum_core_across_seed_sample_std_e,maximum_atom_across_density_sample_std_e,maximum_core_across_density_sample_std_e,production_md_permission
ethyl_isocyanate,aliphatic_terminal_isocyanate,10,3,0.261372944307,0.094922480971,0.0112517710278,0.00634116053817,0.131371414862,0.0479602101958,blocked_joint_multiconformer_fit_and_transfer
methyl_n_methyl_carbamate,aliphatic_urethane,13,4,0.194233578369,0.194233578369,0.0202996566775,0.0188945671072,0.100154456398,0.100154456398,blocked_joint_multiconformer_fit_and_transfer
phenyl_isocyanate,aromatic_terminal_isocyanate,14,3,0.18577447941,0.065187837135,0.0171063591326,0.0109816507112,0.0916225513323,0.0306841316405,blocked_joint_multiconformer_fit_and_transfer
methyl_n_phenyl_carbamate,aromatic_urethane,20,4,0.46381547166,0.46381547166,0.0779222844501,0.0472887811647,0.232698277072,0.232698277072,blocked_joint_multiconformer_fit_and_transfer
