fragment_name,validation_family,smiles,atom_index_zero_based,element,functional_core,random_seed,across_density_count,across_density_mean_e,across_density_sample_std_e,across_density_min_e,across_density_max_e,across_density_range_e
methyl_n_methyl_carbamate,aliphatic_urethane,COC(=O)NC,0,C,False,20260826,3,0.00738683692714,0.0343822617782,-0.0265501282811,0.0421977330263,0.0687478613074
methyl_n_methyl_carbamate,aliphatic_urethane,COC(=O)NC,0,C,False,20260827,3,0.0260213082075,0.0329918545349,-0.00329907716029,0.0617456580562,0.0650447352165
methyl_n_methyl_carbamate,aliphatic_urethane,COC(=O)NC,1,O,True,20260825,3,-0.454545993784,0.042325820696,-0.48940811599,-0.407450991202,0.081957124788
methyl_n_methyl_carbamate,aliphatic_urethane,COC(=O)NC,1,O,True,20260826,3,-0.459267822309,0.0324993638086,-0.490990389452,-0.426043713554,0.064946675898
methyl_n_methyl_carbamate,aliphatic_urethane,COC(=O)NC,1,O,True,20260827,3,-0.466411132797,0.0323802726253,-0.497281556729,-0.432707238613,0.064574318116
methyl_n_methyl_carbamate,aliphatic_urethane,COC(=O)NC,2,C,True,20260825,3,0.866686164842,0.100154456398,0.75543614773,0.949669726099,0.194233578369
methyl_n_methyl_carbamate,aliphatic_urethane,COC(=O)NC,2,C,True,20260826,3,0.872624818168,0.0757222174237,0.792430459172,0.94289653661,0.150466077438
methyl_n_methyl_carbamate,aliphatic_urethane,COC(=O)NC,2,C,True,20260827,3,0.871971902659,0.0835884874183,0.78061010577,0.944612062607,0.164001956837
methyl_n_methyl_carbamate,aliphatic_urethane,COC(=O)NC,3,O,True,20260825,3,-0.603129593248,0.025938288554,-0.623350577065,-0.573884612237,0.049465964828
methyl_n_methyl_carbamate,aliphatic_urethane,COC(=O)NC,3,O,True,20260826,3,-0.603226270611,0.0197418892982,-0.621531312882,-0.582307855389,0.039223457493
methyl_n_methyl_carbamate,aliphatic_urethane,COC(=O)NC,3,O,True,20260827,3,-0.602745425455,0.0226595054585,-0.623527092188,-0.57858706023,0.044940031958
methyl_n_methyl_carbamate,aliphatic_urethane,COC(=O)NC,4,N,True,20260825,3,-0.521108581987,0.0813549977606,-0.591975026684,-0.432270341872,0.159704684812
methyl_n_methyl_carbamate,aliphatic_urethane,COC(=O)NC,4,N,True,20260826,3,-0.526028393086,0.0645670199068,-0.588077896962,-0.459208468831,0.128869428131
methyl_n_methyl_carbamate,aliphatic_urethane,COC(=O)NC,4,N,True,20260827,3,-0.523532036489,0.0649314013752,-0.574449595448,-0.450411547779,0.124038047669
methyl_n_methyl_carbamate,aliphatic_urethane,COC(=O)NC,5,C,False,20260825,3,-0.0860060159425,0.0194989419626,-0.103538973599,-0.0650061694454,0.0385328041536
methyl_n_methyl_carbamate,aliphatic_urethane,COC(=O)NC,5,C,False,20260826,3,-0.0887122522619,0.0133885781397,-0.104002235633,-0.0790882883716,0.0249139472614
methyl_n_methyl_carbamate,aliphatic_urethane,COC(=O)NC,5,C,False,20260827,3,-0.0943316660394,0.0323159264053,-0.123644931997,-0.059678322616,0.063966609381
methyl_n_methyl_carbamate,aliphatic_urethane,COC(=O)NC,6,H,False,20260825,3,0.0766473124158,0.00601145405424,0.0700999421265,0.0819176288653,0.0118176867388
methyl_n_methyl_carbamate,aliphatic_urethane,COC(=O)NC,6,H,False,20260826,3,0.0786391107532,0.008641572677,0.0700228389327,0.087305763988,0.0172829250553
methyl_n_methyl_carbamate,aliphatic_urethane,COC(=O)NC,6,H,False,20260827,3,0.0741275309841,0.00855729177929,0.0649360848505,0.081864150591,0.0169280657405
methyl_n_methyl_carbamate,aliphatic_urethane,COC(=O)NC,7,H,False,20260825,3,0.0766473124158,0.00601145405424,0.0700999421265,0.0819176288653,0.0118176867388
