evaluation_id,evaluation_scheme,held_out_source_family,training_mode,model_name,target_name,unit,evaluation_split,aggregation_level,n_rows,n_groups,mae,rmse,r2,spearman,selected_alpha,evidence_scope,target_semantics,status
development::Rg::angstrom::primary_plus_aux,published_development_split,,primary_plus_aux,weighted_mean,Rg,angstrom,test,hard_group_macro,362,343,1.64000623963,2.1378609937,-0.000803520266455,0.0922936879611,,computational_transfer_baseline,published_computational_target,evaluated
development::Rg::angstrom::primary_plus_aux,published_development_split,,primary_plus_aux,weighted_mean,Rg,angstrom,test,row_weighted,362,343,1.66269068347,2.17784976202,-0.00343263385524,,,computational_transfer_baseline,published_computational_target,evaluated
development::Rg::angstrom::primary_plus_aux,published_development_split,,primary_plus_aux,weighted_mean,Rg,angstrom,validation,hard_group_macro,357,338,1.58519285663,2.16933068138,-0.00431682018288,0.080653153801,,computational_transfer_baseline,published_computational_target,evaluated
development::Rg::angstrom::primary_plus_aux,published_development_split,,primary_plus_aux,weighted_mean,Rg,angstrom,validation,row_weighted,357,338,1.60828561629,2.1952636073,-0.00322322603634,,,computational_transfer_baseline,published_computational_target,evaluated
development::bulk_modulus::Pa::primary_only,published_development_split,,primary_only,morgan_weighted_ridge,bulk_modulus,Pa,test,hard_group_macro,351,332,423018952.113,548998193.804,0.195930611263,0.47570382382,10,computational_transfer_baseline,published_computational_target,evaluated
development::bulk_modulus::Pa::primary_only,published_development_split,,primary_only,morgan_weighted_ridge,bulk_modulus,Pa,test,row_weighted,351,332,424634645.81,557282820.193,0.175431748546,0.451563610585,10,computational_transfer_baseline,published_computational_target,evaluated
development::bulk_modulus::Pa::primary_only,published_development_split,,primary_only,morgan_weighted_ridge,bulk_modulus,Pa,validation,hard_group_macro,347,328,421827495.666,555292524.598,0.253828739009,0.568080688955,10,computational_transfer_baseline,published_computational_target,evaluated
development::bulk_modulus::Pa::primary_only,published_development_split,,primary_only,morgan_weighted_ridge,bulk_modulus,Pa,validation,row_weighted,347,328,430592332.964,569140070.877,0.232521444385,0.550977704785,10,computational_transfer_baseline,published_computational_target,evaluated
development::bulk_modulus::Pa::primary_only,published_development_split,,primary_only,weighted_mean,bulk_modulus,Pa,test,hard_group_macro,351,332,484216799.523,612579118.655,-0.00109680364525,0.026828779173,,computational_transfer_baseline,published_computational_target,evaluated
development::bulk_modulus::Pa::primary_only,published_development_split,,primary_only,weighted_mean,bulk_modulus,Pa,test,row_weighted,351,332,480556927.654,614118784.807,-0.00133653674706,,,computational_transfer_baseline,published_computational_target,evaluated
