fragment_name,validation_family,fourier_order,training_rmse_kcal_mol,maximum_absolute_training_error_kcal_mol,leave_one_angle_out_rmse_kcal_mol
methyl_n_methyl_carbamate,aliphatic_urethane,2,0.47512295577,0.725529817542,2.67882270821
methyl_n_phenyl_carbamate,aromatic_urethane,1,0.198990413765,0.301714308563,0.352108956653
