release_id,source_id,material_grade,physical_specimen_id,paired_fatigued_history_id,recovery_history_id,prior_fatigue_cycles,fatigued_test_date,recovery_test_date,recovery_elapsed_days,fatigued_energy_absorption_50_J_m3,recovered_energy_absorption_50_J_m3,recovery_energy_ratio_vs_fatigued_percent,recovery_energy_change_percent,baseline_N0_group_mean_energy_J_m3,recovered_energy_retention_vs_N0_percent,direct_property_recovery_available,recovery_property,direct_shape_recovery_available,shape_recovery_ratio_percent,recovery_metric_status,thermoplastic_tpu_core,model_admission_layer,chemistry_mapping_status,split_group,license,citation_keys
commercial-tpu-impact-fatigue-2024-v1,doi:10.17632/hc6npzvw3m.1,Elastollan 1154D,1154D13,mendeley_hc6npzvw3m_1154D13_12_04_2023_1428_N100_T20_edot10min2_2,mendeley_hc6npzvw3m_1154D13_01_22_2024_1523_recovery,100,2023-12-04,2024-01-22,49,1439955.1,1296348.83,90.02703139840958,-9.972968601590425,1323491.48,97.94916322392949,True,compression_energy_absorption_at_50pct_strain,False,,exact_same_specimen_ambient_energy_recovery_retest_not_shape_recovery,True,core_tpu_application_experimental,commercial_grade_identity_only,10.17632/hc6npzvw3m.1|Elastollan 1154D,CC-BY-4.0,reference-186
commercial-tpu-impact-fatigue-2024-v1,doi:10.17632/hc6npzvw3m.1,Elastollan 1154D,1154D14,mendeley_hc6npzvw3m_1154D14_12_04_2023_1448_N100_T20_edot10min2_3,mendeley_hc6npzvw3m_1154D14_01_22_2024_1530_recovery,100,2023-12-04,2024-01-22,49,1307408.9,1360226.9,104.03989907059682,4.039899070596812,1323491.48,102.77564461540773,True,compression_energy_absorption_at_50pct_strain,False,,exact_same_specimen_ambient_energy_recovery_retest_not_shape_recovery,True,core_tpu_application_experimental,commercial_grade_identity_only,10.17632/hc6npzvw3m.1|Elastollan 1154D,CC-BY-4.0,reference-186
commercial-tpu-impact-fatigue-2024-v1,doi:10.17632/hc6npzvw3m.1,Elastollan 1195A,1195A11,mendeley_hc6npzvw3m_1195A11_12_07_2023_1051_N100_T20_edot10min2_2,mendeley_hc6npzvw3m_1195A11_01_22_2024_1533_recovery,100,2023-12-07,2024-01-22,46,548927.06,494753.16,90.13094745228992,-9.869052547710087,495030.6333333333,99.9439482499366,True,compression_energy_absorption_at_50pct_strain,False,,exact_same_specimen_ambient_energy_recovery_retest_not_shape_recovery,True,core_tpu_application_experimental,commercial_grade_identity_only,10.17632/hc6npzvw3m.1|Elastollan 1195A,CC-BY-4.0,reference-186
commercial-tpu-impact-fatigue-2024-v1,doi:10.17632/hc6npzvw3m.1,Elastollan 1195A,1195A12,mendeley_hc6npzvw3m_1195A12_12_07_2023_1147_N100_T20_edot10min2_3,mendeley_hc6npzvw3m_1195A12_01_22_2024_1536_recovery,100,2023-12-07,2024-01-22,46,560676.28,521669.13,93.04283926546705,-6.95716073453295,495030.6333333333,105.38118146089141,True,compression_energy_absorption_at_50pct_strain,False,,exact_same_specimen_ambient_energy_recovery_retest_not_shape_recovery,True,core_tpu_application_experimental,commercial_grade_identity_only,10.17632/hc6npzvw3m.1|Elastollan 1195A,CC-BY-4.0,reference-186
commercial-tpu-impact-fatigue-2024-v1,doi:10.17632/hc6npzvw3m.1,Texin 245,Texin11,mendeley_hc6npzvw3m_Texin11_12_07_2023_1205_N100_T20_edot10min2_2,mendeley_hc6npzvw3m_Texin11_01_22_2024_1543_recovery,100,2023-12-07,2024-01-22,46,483603.18,425874.59,88.06281836277421,-11.937181637225786,535661.96,79.50435569477438,True,compression_energy_absorption_at_50pct_strain,False,,exact_same_specimen_ambient_energy_recovery_retest_not_shape_recovery,True,core_tpu_application_experimental,commercial_grade_identity_only,10.17632/hc6npzvw3m.1|Texin 245,CC-BY-4.0,reference-186
commercial-tpu-impact-fatigue-2024-v1,doi:10.17632/hc6npzvw3m.1,Texin 245,Texin12,mendeley_hc6npzvw3m_Texin12_12_07_2023_1245_N100_T20_edot10min2_3,mendeley_hc6npzvw3m_Texin12_01_22_2024_1546_recovery,100,2023-12-07,2024-01-22,46,505953.32,354378.91,70.04181927297167,-29.958180727028342,535661.96,66.1571917483183,True,compression_energy_absorption_at_50pct_strain,False,,exact_same_specimen_ambient_energy_recovery_retest_not_shape_recovery,True,core_tpu_application_experimental,commercial_grade_identity_only,10.17632/hc6npzvw3m.1|Texin 245,CC-BY-4.0,reference-186
