source_id,formulation_id,replicate_id,curve_point_count,minimum_observed_strain,maximum_observed_strain,minimum_observed_stress_MPa,peak_stress_MPa,strain_at_peak_stress,stress_at_100pct_strain_MPa,partial_tensile_energy_MJ_m3,youngs_modulus_0_5pct_MPa,negative_stress_clipped_for_area,curve_sha256,complete_fracture_observed,complete_toughness_available,target_role,chemistry_mapping_status,model_admission_layer,sample_weight_ceiling,split_group,source_locator,source_member_sha256,license,citation_keys
source_mendeley_kysnxmy7xw_v1,TPU_unknown_grade_kysnxmy7xw,1,48003,1.09e-05,1.000026625,0.00038147,5.249175,0.99996725,5.248656278481014,4.145834779873326,26.936671865735192,False,b7774b14d2356f83d1a746c3e2d5672ba34698530a79c37f8a8fcc6bbc170f4c,False,False,direct_partial_tensile_energy_to_100pct,TPU_grade_unreported,core_TPU_application_experimental,0.25,10.17632/kysnxmy7xw.1|TPU_unknown_grade,kysnxmy7xw-1.zip!/S-S Curve for TPU Experiment/Raw Data Experiment TPU.xlsx#replicate=1,23e9d9b06f9add24497fc7f6b52642b96a47c08efab9365fe5aaa91726b6d47c,CC-BY-4.0,reference-94
source_mendeley_kysnxmy7xw_v1,TPU_unknown_grade_kysnxmy7xw,2,48002,7.8125e-06,1.00000625,-0.00828902,5.791712,0.99876875,5.788188127659577,4.538631569666141,29.170450090442824,True,79d3ca47ed175fa6d9294d79c27154d8be129e827f47ae873307a13a4d261978,False,False,direct_partial_tensile_energy_to_100pct,TPU_grade_unreported,core_TPU_application_experimental,0.25,10.17632/kysnxmy7xw.1|TPU_unknown_grade,kysnxmy7xw-1.zip!/S-S Curve for TPU Experiment/Raw Data Experiment TPU.xlsx#replicate=2,23e9d9b06f9add24497fc7f6b52642b96a47c08efab9365fe5aaa91726b6d47c,CC-BY-4.0,reference-94
source_mendeley_kysnxmy7xw_v1,TPU_unknown_grade_kysnxmy7xw,3,48004,7.8125e-06,1.00003125,-0.006755193,5.407206,0.999696875,5.4032979999999995,4.295377630665336,28.641917762898334,True,5806622ed041847b345d7b350425cd499f920e5b24bd0e1df94d1d78bef26535,False,False,direct_partial_tensile_energy_to_100pct,TPU_grade_unreported,core_TPU_application_experimental,0.25,10.17632/kysnxmy7xw.1|TPU_unknown_grade,kysnxmy7xw-1.zip!/S-S Curve for TPU Experiment/Raw Data Experiment TPU.xlsx#replicate=3,23e9d9b06f9add24497fc7f6b52642b96a47c08efab9365fe5aaa91726b6d47c,CC-BY-4.0,reference-94
