source_id,formulation_id,material_class,chemistry_mapping_status,usage_mode,point_count,temperature_min_degC,temperature_max_degC,baseline_mass,final_residual_mass_percent,monotonic_adjustment_point_count,T5_degC,T10_degC,T50_degC,source_member,member_sha256,source_locator,license,citation_keys
source_zenodo_14983287_v1,Cheetah,commercial_thermoplastic_elastomer,commercial_grade_identity_only,auxiliary_train,6617,2.0,599.6997,100.05899442768953,0.0,6616,2.0,2.0,2.0,Thermal degradation/Cheetah.csv,f3aaf2c6ee431a10f91d32843640b6c314fe3949ebb2800a8bbf232524b06960,数据/原始/外部数据/新增开放数据/Zenodo_标准化弹性体表征/Thermal degradation.zip#Thermal degradation/Cheetah.csv,source_license_pending_manifest_confirmation,zenodo-14983287
source_zenodo_14983287_v1,Filaflex 60A,commercial_thermoplastic_elastomer,commercial_grade_identity_only,auxiliary_train,6823,2.0,599.7021,99.96873108245651,-1.0448723413485883,6084,2.0,2.0,2.0,Thermal degradation/Filaflex 60A.csv,3e4ccded77bca869e434b3bdcda649eb03a8e4f5ecc6c00b24f3883316468e2a,数据/原始/外部数据/新增开放数据/Zenodo_标准化弹性体表征/Thermal degradation.zip#Thermal degradation/Filaflex 60A.csv,source_license_pending_manifest_confirmation,zenodo-14983287
