source_id,material_code,formulation_id,fiber_csv_id,hydration_condition,test_date_batch,diameter_um,temperature_degC,nominal_strain_percent,peak_force_cycle1_uN,loading_work_cycle1_pJ,recovery_work_cycle1_pJ,hysteresis_work_cycle1_pJ,dissipation_fraction_cycle1,loading_displacement_excursion_cycle1_um,residual_displacement_cycle1_um,displacement_recovery_proxy_cycle1,peak_force_cycle2_uN,loading_work_cycle2_pJ,recovery_work_cycle2_pJ,hysteresis_work_cycle2_pJ,dissipation_fraction_cycle2,loading_displacement_excursion_cycle2_um,residual_displacement_cycle2_um,displacement_recovery_proxy_cycle2,cycle2_peak_force_retention,cycle2_loading_work_retention,source_machine_row_count,nested_curve_segment_count,initialization_transient_rows_excluded,absolute_stress_available,complete_toughness_available,target_role,chemistry_mapping_status,model_admission_layer,usage_mode,sample_weight_ceiling,fiber_total_weight_ceiling,split_group,source_locator,source_sha256,license,citation_keys
source_texas_zyq5z1_v1,PCU85,PCU85,PCU85_01_29_25_003,Dry,01_29_25,0.498,24.0,20,12.4114295,2400.5496603051693,2527.2159161368318,-126.66625583166251,-0.05276552196614841,357.69698999999997,3.1561700000000004,0.9911764144283126,11.8080295,2296.374219267015,2333.378288006971,-37.00406873995598,-0.01611412827643022,338.61425,0.60548,0.998211888601853,0.9513835211326785,0.95660350512186,1417,17,1,False,False,single_fiber_cyclic_force_displacement_transfer,material_code_only,single_fiber_polyurethane_auxiliary,cyclic_transfer_and_wet_condition_external_validation,0.0625,0.25,10.18738/T8/ZYQ5Z1|PCU85|Dry|01_29_25,数据/原始/外部数据/新增开放数据/Texas_湿干单根电纺PU纤维力学/解压内容/Data/Dry/PCU85_01_29_25_003Data.csv,3e3103cd8c255a54249041e2a304ed574e0f3996111944ca4896bf1fb6c793d6,CC0-1.0,reference-197
source_texas_zyq5z1_v1,PCU85,PCU85,PCU85_01_29_25_003,Dry,01_29_25,0.498,24.0,30,19.567529500000003,5752.287515578976,6095.5035826598305,-343.2160670808544,-0.05966601393816268,559.3342499999999,1.8719199999999994,0.9966533070342107,18.209429500000002,5173.992942113265,5444.435000961823,-270.4420588485582,-0.05226950671836419,525.51507,5.580819999999999,0.9893802855168359,0.9305942019916209,0.8994670256138083,1417,17,1,False,False,single_fiber_cyclic_force_displacement_transfer,material_code_only,single_fiber_polyurethane_auxiliary,cyclic_transfer_and_wet_condition_external_validation,0.0625,0.25,10.18738/T8/ZYQ5Z1|PCU85|Dry|01_29_25,数据/原始/外部数据/新增开放数据/Texas_湿干单根电纺PU纤维力学/解压内容/Data/Dry/PCU85_01_29_25_003Data.csv,3e3103cd8c255a54249041e2a304ed574e0f3996111944ca4896bf1fb6c793d6,CC0-1.0,reference-197
source_texas_zyq5z1_v1,PCU85,PCU85,PCU85_01_29_25_004,Dry,01_29_25,0.18,23.8,10,4.4704597,449.80542020418005,329.86229901269013,119.94312119148992,0.2666555710623589,123.99673000000004,5.022600000000001,0.9594940931103586,4.3459497,417.27808012774415,359.12325957529714,58.154820552447006,0.13936706316958627,121.79501000000002,4.49658,0.9630807534725766,0.972148278173719,0.9276857534049483,1417,17,1,False,False,single_fiber_cyclic_force_displacement_transfer,material_code_only,single_fiber_polyurethane_auxiliary,cyclic_transfer_and_wet_condition_external_validation,0.0625,0.25,10.18738/T8/ZYQ5Z1|PCU85|Dry|01_29_25,数据/原始/外部数据/新增开放数据/Texas_湿干单根电纺PU纤维力学/解压内容/Data/Dry/PCU85_01_29_25_004Data.csv,e9c19d59ef0419828e5e9d9e6cb159c291572e9bce60c20074c7c3ca87b303f1,CC0-1.0,reference-197
source_texas_zyq5z1_v1,PCU85,PCU85,PCU85_01_29_25_004,Dry,01_29_25,0.18,23.8,15,7.8093097,1012.3803771230083,1001.939567210707,10.440809912301347,0.010313129480020281,218.1430100000002,8.55274,0.9607929678791909,7.6021197,951.479690066889,988.7572319178067,-37.277541850917714,-0.03917849454915544,216.5649299999999,1.1280800000000006,0.9947910310316633,0.9734688457803127,0.9398440660918503,1417,17,1,False,False,single_fiber_cyclic_force_displacement_transfer,material_code_only,single_fiber_polyurethane_auxiliary,cyclic_transfer_and_wet_condition_external_validation,0.0625,0.25,10.18738/T8/ZYQ5Z1|PCU85|Dry|01_29_25,数据/原始/外部数据/新增开放数据/Texas_湿干单根电纺PU纤维力学/解压内容/Data/Dry/PCU85_01_29_25_004Data.csv,e9c19d59ef0419828e5e9d9e6cb159c291572e9bce60c20074c7c3ca87b303f1,CC0-1.0,reference-197
source_texas_zyq5z1_v1,PCU85,PCU85,PCU85_01_29_25_004,Dry,01_29_25,0.18,23.8,20,11.6495297,2105.295411981345,2216.897703677563,-111.60229169621834,-0.05301027640163178,321.50180000000006,8.593129999999999,0.9732719070313137,11.058529700000001,1952.3381790097046,2046.1414346390263,-93.80325562932171,-0.04804662257688474,324.09889999999984,9.56849,0.9704766353727211,0.9492683382746344,0.9273464274414162,1417,17,1,False,False,single_fiber_cyclic_force_displacement_transfer,material_code_only,single_fiber_polyurethane_auxiliary,cyclic_transfer_and_wet_condition_external_validation,0.0625,0.25,10.18738/T8/ZYQ5Z1|PCU85|Dry|01_29_25,数据/原始/外部数据/新增开放数据/Texas_湿干单根电纺PU纤维力学/解压内容/Data/Dry/PCU85_01_29_25_004Data.csv,e9c19d59ef0419828e5e9d9e6cb159c291572e9bce60c20074c7c3ca87b303f1,CC0-1.0,reference-197
source_texas_zyq5z1_v1,PCU85,PCU85,PCU85_01_29_25_004,Dry,01_29_25,0.18,23.8,30,21.1458297,6583.2402472500335,7037.141485844226,-453.90123859419236,-0.06894799848506168,608.7849300000001,4.6548,0.9923539500230402,19.9548297,6050.619515551501,6473.339290191369,-422.7197746398688,-0.06986388312029546,568.0657499999998,13.296579999999999,0.9765932376665906,0.9436768376130449,0.9190944410814993,1417,17,1,False,False,single_fiber_cyclic_force_displacement_transfer,material_code_only,single_fiber_polyurethane_auxiliary,cyclic_transfer_and_wet_condition_external_validation,0.0625,0.25,10.18738/T8/ZYQ5Z1|PCU85|Dry|01_29_25,数据/原始/外部数据/新增开放数据/Texas_湿干单根电纺PU纤维力学/解压内容/Data/Dry/PCU85_01_29_25_004Data.csv,e9c19d59ef0419828e5e9d9e6cb159c291572e9bce60c20074c7c3ca87b303f1,CC0-1.0,reference-197
source_texas_zyq5z1_v1,PCU85,PCU85,PCU85_01_29_25_005,Dry,01_29_25,0.432,23.9,10,4.45884147,449.9910243325754,330.71890623071783,119.27211810185759,0.2650544380940963,137.12039999999993,1.623330000000001,0.9881612801596261,4.32303147,395.0836344949734,330.5437241646608,64.53991033031264,0.16335758987540083,135.46899000000002,0.12809000000000026,0.9990544699565561,0.9695414154296004,0.8779811443594006,1417,17,1,False,False,single_fiber_cyclic_force_displacement_transfer,material_code_only,single_fiber_polyurethane_auxiliary,cyclic_transfer_and_wet_condition_external_validation,0.0625,0.25,10.18738/T8/ZYQ5Z1|PCU85|Dry|01_29_25,数据/原始/外部数据/新增开放数据/Texas_湿干单根电纺PU纤维力学/解压内容/Data/Dry/PCU85_01_29_25_005Data.csv,36704eb9b372342139ab0e506daecbce069d7ca78d62dbd8a671a6d0a33208f6,CC0-1.0,reference-197
source_texas_zyq5z1_v1,PCU85,PCU85,PCU85_01_29_25_005,Dry,01_29_25,0.432,23.9,15,6.717391470000001,846.9475646141011,710.8607095588034,136.08685505529775,0.16067919755729348,197.6989,2.5822000000000003,0.986938723483034,6.27861147,704.6216259390577,689.3053234158211,15.316302523236573,0.021736918027209784,193.43041,5.37397,0.9722175535894279,0.9346800016108038,0.8319542500368461,1417,17,1,False,False,single_fiber_cyclic_force_displacement_transfer,material_code_only,single_fiber_polyurethane_auxiliary,cyclic_transfer_and_wet_condition_external_validation,0.0625,0.25,10.18738/T8/ZYQ5Z1|PCU85|Dry|01_29_25,数据/原始/外部数据/新增开放数据/Texas_湿干单根电纺PU纤维力学/解压内容/Data/Dry/PCU85_01_29_25_005Data.csv,36704eb9b372342139ab0e506daecbce069d7ca78d62dbd8a671a6d0a33208f6,CC0-1.0,reference-197
source_texas_zyq5z1_v1,PCU85,PCU85,PCU85_01_29_25_005,Dry,01_29_25,0.432,23.9,20,8.91378147,1287.0875314751108,1260.4795678705893,26.6079636045215,0.02067300238238384,250.94630000000004,15.20137,0.9394238129830964,8.52626147,1142.6428363024304,1189.5336946577545,-46.8908583553241,-0.04103719628354035,254.32110000000011,0.9246499999999997,0.9963642418973494,0.9565257459694039,0.8877739923351331,1417,17,1,False,False,single_fiber_cyclic_force_displacement_transfer,material_code_only,single_fiber_polyurethane_auxiliary,cyclic_transfer_and_wet_condition_external_validation,0.0625,0.25,10.18738/T8/ZYQ5Z1|PCU85|Dry|01_29_25,数据/原始/外部数据/新增开放数据/Texas_湿干单根电纺PU纤维力学/解压内容/Data/Dry/PCU85_01_29_25_005Data.csv,36704eb9b372342139ab0e506daecbce069d7ca78d62dbd8a671a6d0a33208f6,CC0-1.0,reference-197
source_texas_zyq5z1_v1,PCU85,PCU85,PCU85_01_29_25_005,Dry,01_29_25,0.432,23.9,30,14.58289147,3151.8507436739133,3296.50844979827,-144.65770612435654,-0.0458961156122952,428.1411000000001,0.19657000000000124,0.9995408756599168,13.903991470000001,2924.423455344686,3097.678518040294,-173.2550626956081,-0.05924417764430339,412.7095899999997,7.626709999999999,0.9815203954916579,0.9534454465771321,0.9278432556536196,1417,17,1,False,False,single_fiber_cyclic_force_displacement_transfer,material_code_only,single_fiber_polyurethane_auxiliary,cyclic_transfer_and_wet_condition_external_validation,0.0625,0.25,10.18738/T8/ZYQ5Z1|PCU85|Dry|01_29_25,数据/原始/外部数据/新增开放数据/Texas_湿干单根电纺PU纤维力学/解压内容/Data/Dry/PCU85_01_29_25_005Data.csv,36704eb9b372342139ab0e506daecbce069d7ca78d62dbd8a671a6d0a33208f6,CC0-1.0,reference-197
