source_id,formulation_id,material_state,component_1,component_2,component_3,component_molar_ratio,chemistry_mapping_status,raw_curve_point_count,curve_point_count,baseline_mass_g,baseline_temperature_window_degC,T5_degC,T10_degC,T50_degC,terminal_temperature_degC,terminal_remaining_mass_pct,atmosphere,heating_rate_degC_min,program_temperature_range_degC,target_role,model_admission_layer,sample_weight_ceiling,split_group,source_locator,source_member_sha256,license,citation_keys
source_4tu_13603775_v1,SH-TPU,FDM_filament,CroHeal 2000,"2-ethyl-1,3-hexanediol (EHD)","4,4'-methylenebis(phenyl isocyanate) (MDI)",1:0.6:1.7,monomer_set_molar_composition_mapped,3480,3434,3.448826,80-120,322.5394390804597,338.8702594296228,378.0537874339401,571.23,3.3823683769491417,nitrogen,5,30-600,direct_TGA_thermal_stability,core_TPU_thermal_experimental,0.3,10.4121/13603775.v1|SH-TPU,source_data.zip!/Data/TGA/SH-TPU filament.csv,b98f2f31a0fdab006a862360ba7b0666e29c5ec670c02dc11ca370c0055a6c3f,CC-BY-4.0,reference-21
source_4tu_13603775_v1,SH-TPU,pristine_polymer,CroHeal 2000,"2-ethyl-1,3-hexanediol (EHD)","4,4'-methylenebis(phenyl isocyanate) (MDI)",1:0.6:1.7,monomer_set_molar_composition_mapped,3104,3104,0.993957,80-120,311.5904102760736,328.7531472957422,364.390593376265,522.35,4.531684972287533,nitrogen,5,30-600,direct_TGA_thermal_stability,core_TPU_thermal_experimental,0.3,10.4121/13603775.v1|SH-TPU,source_data.zip!/Data/TGA/SH-TPU pristine polymer.csv,c08e71d78fcbef1e25f7784e5aa87b340b8a42d8256ed8aa27c3ebad041de9e2,CC-BY-4.0,reference-21
