fragment_name,validation_family,completed_points,maximum_angle_drift_degrees,maximum_absolute_mm_relaxation_change_kcal_mol,relaxed_gaff2_barrier_within_subset_kcal_mol,restraint_k_kcal_mol_rad2,mm_relaxed_status,production_md_permission
methyl_n_methyl_carbamate,aliphatic_urethane,4,0.194987877949,5.40302258834,23.9761636368,5000,completed_screening_parameter_refit_pending,blocked_dft_relaxed_comparison_and_refit
methyl_n_phenyl_carbamate,aromatic_urethane,4,0.116754421556,32.5402451144,14.4610785613,5000,completed_screening_parameter_refit_pending,blocked_dft_relaxed_comparison_and_refit
