component_id,nominal_mn_g_mol,repeat_count,representative_smiles,molecular_formula,rdkit_mol_weight,nominal_mn_residual_g_mol,approximation_status,distribution_claim_status,required_product_fields
commercial_ptmg_1000,1000.0,14,OCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCO,C56H114O15,1027.5129999999988,27.512999999998783,single_oligomer_proxy_for_product_distribution,no_distribution_claim,OH_number;water;Mn;Mw;PDI;lot_COA
commercial_ptmg_2000,2000.0,27,OCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCO,C108H218O28,1964.9040000000014,-35.09599999999864,single_oligomer_proxy_for_product_distribution,no_distribution_claim,OH_number;water;Mn;Mw;PDI;lot_COA
